iter	Passed	Remaining
0	16	4909
1	31	4669
2	48	4795
3	64	4796
4	81	4837
5	97	4795
6	113	4740
7	128	4697
8	143	4644
9	159	4615
10	173	4567
11	188	4522
12	202	4480
13	218	4455
14	232	4424
15	247	4398
16	263	4382
17	278	4361
18	292	4328
19	307	4300
20	321	4276
21	336	4258
22	351	4228
23	365	4208
24	380	4184
25	395	4165
26	410	4152
27	425	4134
28	439	4106
29	454	4087
30	468	4065
31	483	4045
32	497	4024
33	511	3999
34	525	3980
35	539	3957
36	553	3934
37	567	3912
38	582	3895
39	595	3869
40	609	3850
41	623	3828
42	636	3807
43	650	3784
44	664	3764
45	678	3746
46	692	3728
47	706	3707
48	720	3690
49	734	3672
50	749	3659
51	763	3639
52	776	3618
53	790	3599
54	803	3579
55	817	3562
56	831	3543
57	844	3525
58	859	3508
59	872	3490
60	886	3472
61	900	3455
62	914	3441
63	928	3425
64	943	3409
65	956	3392
66	971	3377
67	987	3370
68	1001	3353
69	1015	3336
70	1029	3319
71	1042	3301
72	1056	3286
73	1070	3269
74	1084	3253
75	1097	3235
76	1111	3219
77	1125	3203
78	1139	3186
79	1152	3170
80	1166	3154
81	1180	3138
82	1194	3121
83	1207	3105
84	1221	3089
85	1235	3075
86	1249	3059
87	1263	3044
88	1277	3028
89	1291	3013
90	1304	2996
91	1319	2982
92	1332	2966
93	1346	2950
94	1360	2935
95	1374	2920
96	1387	2904
97	1401	2887
98	1415	2873
99	1430	2861
100	1444	2845
101	1457	2830
102	1471	2815
103	1485	2799
104	1499	2783
105	1512	2768
106	1526	2753
107	1540	2739
108	1555	2725
109	1569	2710
110	1582	2695
111	1597	2681
112	1611	2667
113	1625	2652
114	1640	2639
115	1654	2624
116	1669	2610
117	1682	2595
118	1696	2580
119	1710	2565
120	1724	2551
121	1738	2536
122	1753	2522
123	1767	2509
124	1782	2495
125	1796	2481
126	1811	2467
127	1825	2453
128	1840	2439
129	1853	2424
130	1868	2410
131	1882	2396
132	1897	2382
133	1911	2367
134	1925	2352
135	1939	2338
136	1954	2325
137	1969	2311
138	1983	2297
139	1998	2283
140	2015	2272
141	2029	2258
142	2049	2250
143	2078	2251
144	2096	2241
145	2111	2227
146	2126	2213
147	2140	2198
148	2154	2183
149	2169	2169
150	2184	2155
151	2201	2143
152	2218	2131
153	2235	2119
154	2251	2106
155	2268	2093
156	2283	2080
157	2299	2066
158	2319	2057
159	2337	2044
160	2352	2030
161	2367	2016
162	2382	2002
163	2397	1988
164	2412	1974
165	2427	1959
166	2443	1946
167	2458	1931
168	2473	1916
169	2488	1902
170	2502	1888
171	2517	1873
172	2531	1858
173	2545	1843
174	2559	1828
175	2574	1814
176	2589	1799
177	2603	1784
178	2617	1769
179	2632	1754
180	2646	1739
181	2660	1724
182	2674	1709
183	2688	1694
184	2702	1680
185	2716	1665
186	2731	1650
187	2745	1635
188	2760	1621
189	2774	1606
190	2788	1591
191	2802	1576
192	2817	1561
193	2830	1546
194	2844	1531
195	2858	1516
196	2872	1501
197	2886	1487
198	2903	1473
199	2920	1460
200	2936	1446
201	2949	1431
202	2963	1416
203	2977	1401
204	2991	1386
205	3005	1371
206	3020	1356
207	3034	1342
208	3047	1327
209	3061	1312
210	3075	1297
211	3089	1282
212	3102	1267
213	3117	1252
214	3130	1237
215	3144	1222
216	3158	1208
217	3171	1193
218	3185	1178
219	3198	1163
220	3212	1148
221	3226	1133
222	3240	1118
223	3254	1104
224	3268	1089
225	3281	1074
226	3295	1059
227	3309	1045
228	3323	1030
229	3337	1015
230	3351	1001
231	3364	986
232	3378	971
233	3392	956
234	3406	942
235	3420	927
236	3433	912
237	3449	898
238	3463	884
239	3477	869
240	3491	854
241	3505	840
242	3519	825
243	3533	810
244	3547	796
245	3561	781
246	3575	767
247	3589	752
248	3603	738
249	3617	723
250	3631	709
251	3648	694
252	3662	680
253	3677	665
254	3691	651
255	3705	636
256	3719	622
257	3733	607
258	3747	593
259	3762	578
260	3775	564
261	3790	549
262	3804	535
263	3819	520
264	3833	506
265	3847	491
266	3861	477
267	3876	462
268	3890	448
269	3904	433
270	3920	419
271	3934	405
272	3948	390
273	3963	376
274	3978	361
275	3992	347
276	4005	332
277	4019	318
278	4034	303
279	4049	289
280	4063	274
281	4076	260
282	4091	245
283	4105	231
284	4120	216
285	4134	202
286	4147	187
287	4161	173
288	4174	158
289	4189	144
290	4203	130
291	4217	115
292	4231	101
293	4245	86
294	4259	72
295	4273	57
296	4288	43
297	4302	28
298	4316	14
299	4330	0
